itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
HVAC-0579,hvac,HVAC Air Treatment Components,Ultrasonic Humidifier,"Supply, install, connect, test and commission ultrasonic humidifier, including housing, controls and accessories as applicable. | MasterFormat: 23 84 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Efficiency: ___ | Pressure Drop: ___ | Power: ___ | Material: ___ | Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0580,hvac,HVAC Air Treatment Components,Adiabatic Humidifier,"Supply, install, connect, test and commission adiabatic humidifier, including housing, controls and accessories as applicable. | MasterFormat: 23 84 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Efficiency: ___ | Pressure Drop: ___ | Power: ___ | Material: ___ | Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0581,hvac,HVAC Air Treatment Components,Desiccant Dehumidifier,"Supply, install, connect, test and commission desiccant dehumidifier, including housing, controls and accessories as applicable. | MasterFormat: 23 84 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Efficiency: ___ | Pressure Drop: ___ | Power: ___ | Material: ___ | Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0582,hvac,HVAC Air Treatment Components,Refrigerant Dehumidifier,"Supply, install, connect, test and commission refrigerant dehumidifier, including housing, controls and accessories as applicable. | MasterFormat: 23 84 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Efficiency: ___ | Pressure Drop: ___ | Power: ___ | Material: ___ | Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0583,hvac,HVAC Air Treatment Components,Panel Air Filter,"Supply, install, connect, test and commission panel air filter, including housing, controls and accessories as applicable. | MasterFormat: 23 40 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Efficiency: ___ | Pressure Drop: ___ | Power: ___ | Material: ___ | Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0584,hvac,HVAC Air Treatment Components,Bag Air Filter,"Supply, install, connect, test and commission bag air filter, including housing, controls and accessories as applicable. | MasterFormat: 23 40 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Efficiency: ___ | Pressure Drop: ___ | Power: ___ | Material: ___ | Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0585,hvac,HVAC Air Treatment Components,Hepa Filter,"Supply, install, connect, test and commission HEPA filter, including housing, controls and accessories as applicable. | MasterFormat: 23 40 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Efficiency: ___ | Pressure Drop: ___ | Power: ___ | Material: ___ | Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0586,hvac,HVAC Air Treatment Components,Ulpa Filter,"Supply, install, connect, test and commission ULPA filter, including housing, controls and accessories as applicable. | MasterFormat: 23 40 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Efficiency: ___ | Pressure Drop: ___ | Power: ___ | Material: ___ | Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0587,hvac,HVAC Air Treatment Components,Activated Carbon Filter,"Supply, install, connect, test and commission activated carbon filter, including housing, controls and accessories as applicable. | MasterFormat: 23 40 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Efficiency: ___ | Pressure Drop: ___ | Power: ___ | Material: ___ | Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0588,hvac,HVAC Air Treatment Components,Electrostatic Air Cleaner,"Supply, install, connect, test and commission electrostatic air cleaner, including housing, controls and accessories as applicable. | MasterFormat: 23 40 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Efficiency: ___ | Pressure Drop: ___ | Power: ___ | Material: ___ | Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0589,hvac,HVAC Air Treatment Components,Air Purification Ionization Unit,"Supply, install, connect, test and commission air purification ionization unit, including housing, controls and accessories as applicable. | MasterFormat: 23 40 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Efficiency: ___ | Pressure Drop: ___ | Power: ___ | Material: ___ | Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0590,hvac,HVAC Air Treatment Components,Filter Housing,"Supply, install, connect, test and commission filter housing, including housing, controls and accessories as applicable. | MasterFormat: 23 40 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Efficiency: ___ | Pressure Drop: ___ | Power: ___ | Material: ___ | Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0591,hvac,HVAC Air Treatment Components,Terminal Hepa Housing,"Supply, install, connect, test and commission terminal HEPA housing, including housing, controls and accessories as applicable. | MasterFormat: 23 40 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Efficiency: ___ | Pressure Drop: ___ | Power: ___ | Material: ___ | Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0592,hvac,HVAC Air Treatment Components,Kitchen Grease Filter,"Supply, install, connect, test and commission kitchen grease filter, including housing, controls and accessories as applicable. | MasterFormat: 23 40 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Efficiency: ___ | Pressure Drop: ___ | Power: ___ | Material: ___ | Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0593,hvac,HVAC Controls and BMS,Ddc Controller,"Supply, install, wire, program, test and commission DDC controller, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0594,hvac,HVAC Controls and BMS,Bms Supervisory Controller,"Supply, install, wire, program, test and commission BMS supervisory controller, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0595,hvac,HVAC Controls and BMS,Hvac Control Panel,"Supply, install, wire, program, test and commission HVAC control panel, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0596,hvac,HVAC Controls and BMS,Motor Control Panel For Hvac,"Supply, install, wire, program, test and commission motor control panel for HVAC, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0597,hvac,HVAC Controls and BMS,Variable Frequency Drive,"Supply, install, wire, program, test and commission variable frequency drive, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0598,hvac,HVAC Controls and BMS,Soft Starter,"Supply, install, wire, program, test and commission soft starter, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0599,hvac,HVAC Controls and BMS,Room Thermostat,"Supply, install, wire, program, test and commission room thermostat, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0600,hvac,HVAC Controls and BMS,Programmable Thermostat,"Supply, install, wire, program, test and commission programmable thermostat, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0601,hvac,HVAC Controls and BMS,Smart Thermostat,"Supply, install, wire, program, test and commission smart thermostat, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0602,hvac,HVAC Controls and BMS,Humidistat,"Supply, install, wire, program, test and commission humidistat, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0603,hvac,HVAC Controls and BMS,Co2 Sensor,"Supply, install, wire, program, test and commission CO2 sensor, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0604,hvac,HVAC Controls and BMS,Voc Sensor,"Supply, install, wire, program, test and commission VOC sensor, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0605,hvac,HVAC Controls and BMS,Particulate Matter Sensor,"Supply, install, wire, program, test and commission particulate matter sensor, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0606,hvac,HVAC Controls and BMS,Indoor Air Quality Sensor,"Supply, install, wire, program, test and commission indoor air quality sensor, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0607,hvac,HVAC Controls and BMS,Duct Smoke Detector,"Supply, install, wire, program, test and commission duct smoke detector, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0608,hvac,HVAC Controls and BMS,Freeze-Stat,"Supply, install, wire, program, test and commission freeze-stat, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0609,hvac,HVAC Controls and BMS,Airflow Switch,"Supply, install, wire, program, test and commission airflow switch, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0610,hvac,HVAC Controls and BMS,Damper Actuator - Modulating,"Supply, install, wire, program, test and commission damper actuator - modulating, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0611,hvac,HVAC Controls and BMS,Damper Actuator - On/Off,"Supply, install, wire, program, test and commission damper actuator - on/off, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0612,hvac,HVAC Controls and BMS,Valve Actuator - Modulating,"Supply, install, wire, program, test and commission valve actuator - modulating, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0613,hvac,HVAC Controls and BMS,Valve Actuator - On/Off,"Supply, install, wire, program, test and commission valve actuator - on/off, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0614,hvac,HVAC Controls and BMS,Current Sensor,"Supply, install, wire, program, test and commission current sensor, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0615,hvac,HVAC Controls and BMS,Power Meter,"Supply, install, wire, program, test and commission power meter, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0616,hvac,HVAC Controls and BMS,Control Transformer,"Supply, install, wire, program, test and commission control transformer, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0617,hvac,HVAC Controls and BMS,Control Relay,"Supply, install, wire, program, test and commission control relay, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0618,hvac,HVAC Controls and BMS,Network Router Or Gateway,"Supply, install, wire, program, test and commission network router or gateway, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0619,hvac,HVAC Controls and BMS,Bacnet Interface Gateway,"Supply, install, wire, program, test and commission BACnet interface gateway, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0620,hvac,HVAC Controls and BMS,Modbus Interface Gateway,"Supply, install, wire, program, test and commission Modbus interface gateway, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0621,hvac,HVAC Controls and BMS,Bms Workstation,"Supply, install, wire, program, test and commission BMS workstation, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0622,hvac,HVAC Controls and BMS,Bms Server,"Supply, install, wire, program, test and commission BMS server, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0623,hvac,HVAC Controls and BMS,Bms Software License,"Supply, install, wire, program, test and commission BMS software license, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0624,hvac,HVAC Controls and BMS,Bms Graphics Development,"Supply, install, wire, program, test and commission BMS graphics development, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0625,hvac,HVAC Controls and BMS,Bms Point Integration,"Supply, install, wire, program, test and commission BMS point integration, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,point,,,,,,,
HVAC-0626,hvac,HVAC Controls and BMS,Bms Control Wiring,"Supply, install, wire, program, test and commission BMS control wiring, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0627,hvac,HVAC Controls and BMS,Bms Containment,"Supply, install, wire, program, test and commission BMS containment, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0628,hvac,HVAC Controls and BMS,Remote I/O Module,"Supply, install, wire, program, test and commission remote I/O module, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0629,hvac,HVAC Controls and BMS,Weather Station,"Supply, install, wire, program, test and commission weather station, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0630,hvac,HVAC Controls and BMS,Occupancy Sensor For Hvac,"Supply, install, wire, program, test and commission occupancy sensor for HVAC, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0631,hvac,HVAC Controls and BMS,Condensation Sensor,"Supply, install, wire, program, test and commission condensation sensor, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0632,hvac,HVAC Controls and BMS,Refrigerant Leak Detector,"Supply, install, wire, program, test and commission refrigerant leak detector, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0633,hvac,HVAC Controls and BMS,Gas Detector For Plantroom,"Supply, install, wire, program, test and commission gas detector for plantroom, complete with required accessories and integration. | MasterFormat: 23 09 00 | OmniClass: 23-33 11 00 HVAC Controls and Instrumentation | Spec: Range/Capacity: ___ | Inputs/Outputs: ___ | Power Supply: ___ | Signal: ___ | Protocol: ___ | IP Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0634,hvac,HVAC Testing and Commissioning,Duct Leakage Testing,"Perform duct leakage testing and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,m²,,,,,,,
HVAC-0635,hvac,HVAC Testing and Commissioning,Hydrostatic Pressure Testing,"Perform hydrostatic pressure testing and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,LM,,,,,,,
HVAC-0636,hvac,HVAC Testing and Commissioning,Pneumatic Pressure Testing,"Perform pneumatic pressure testing and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,LM,,,,,,,
HVAC-0637,hvac,HVAC Testing and Commissioning,Refrigerant Pressure Testing,"Perform refrigerant pressure testing and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,LS,,,,,,,
HVAC-0638,hvac,HVAC Testing and Commissioning,Pipe Flushing,"Perform pipe flushing and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,LM,,,,,,,
HVAC-0639,hvac,HVAC Testing and Commissioning,Pipe Chemical Cleaning,"Perform pipe chemical cleaning and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,LM,,,,,,,
HVAC-0640,hvac,HVAC Testing and Commissioning,Pipe Disinfection Where Applicable,"Perform pipe disinfection where applicable and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,LM,,,,,,,
HVAC-0641,hvac,HVAC Testing and Commissioning,Air System Testing Adjusting And Balancing,"Perform air system testing adjusting and balancing and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 05 93 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,LS,,,,,,,
HVAC-0642,hvac,HVAC Testing and Commissioning,Water System Testing Adjusting And Balancing,"Perform water system testing adjusting and balancing and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 05 93 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,LS,,,,,,,
HVAC-0643,hvac,HVAC Testing and Commissioning,Equipment Performance Testing,"Perform equipment performance testing and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,no.,,,,,,,
HVAC-0644,hvac,HVAC Testing and Commissioning,Controls Point-To-Point Testing,"Perform controls point-to-point testing and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,point,,,,,,,
HVAC-0645,hvac,HVAC Testing and Commissioning,Bms Functional Testing,"Perform BMS functional testing and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,LS,,,,,,,
HVAC-0646,hvac,HVAC Testing and Commissioning,Hvac Pre-Commissioning,"Perform HVAC pre-commissioning and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,LS,,,,,,,
HVAC-0647,hvac,HVAC Testing and Commissioning,Hvac Functional Commissioning,"Perform HVAC functional commissioning and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,LS,,,,,,,
HVAC-0648,hvac,HVAC Testing and Commissioning,Integrated Systems Testing,"Perform integrated systems testing and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,LS,,,,,,,
HVAC-0649,hvac,HVAC Testing and Commissioning,Seasonal Commissioning,"Perform seasonal commissioning and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,LS,,,,,,,
HVAC-0650,hvac,HVAC Testing and Commissioning,Sound Level Testing,"Perform sound level testing and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,no.,,,,,,,
